,time,location,operator,route,aircraft_type,aboard,fatalities,description,month,year,day,latitude,longitude
2459,21:08,"Off Abidjan, Ivory Coast",Kenya Airways,Abidjan - Lagos,AirbusA310-304,179   (passengers:169  crew:10),169   (passengers:159  crew:10),"The aircraft crashed into the Atlantic Ocean three minutes after taking off from Felix Houphouet-Boigny Airport.  A few seconds after lifting off the ground the stall warning sounded and continued for about 20 seconds until it was manually turned off by the crew. Three seconds later the plane impacted the water. The pilot's response to an alarm that inaccurately indicated the plane had stalled. The pilot failed to complete established procedure for such an emergency. Takeoff conditions also contributed to the accident, which occurred at night, hampering the crew's ability to judge the plane's distance from the sea.",January,2000,30,5.320357,-4.016107
350,21:14,"Mt. Sanford, Alaska",Northwest Orient Airlines,Anchorage - New York City,Douglas DC-4 (C-54G-1-DO),30   (passengers:24  crew:6),30   (passengers:24  crew:6),"On a charter flight from Lunghwa Airport, Shanghai to La Guardia Airport, New York the plane crashed into the western slope of Mt. Sanford at an altitude of 11,000 feet after taking off from Anchorage, Alaska. Pilot's failure to see Mt. Sanford due to obscuring clouds or aurora borealis while flying a course off the airway.",March,1948,12,62.213889,-144.128889
1341,19:30,"Off Saint Thomas, U.S. Virgin Islands",North Cay Airways,Saint Croix - Saint Thomas,Britten-Norman BN-2A Islander,2   (passengers:1  crew:1),2   (passengers:1  crew:1),Crashed into the ocean.,October,1974,2,,
550,17:03,"Near Mason City, Iowa",Braniff Airlines,Memphis - Minneapolis,Douglas DC-3,19   (passengers:16  crew:3),12   (passengers:10  crew:2),"The aircraft crashed 16 miles south of Mason City, Iowa due to a loss of control after penetrating an area of thunderstorms during a go-around. The flight, while endeavouring to traverse a thunderstorm area, encountered very heavy rain, divergent winds, and strong downdrafts that forced the aircraft to the ground.",August,1954,22,,
2696,13:38,"Panama City, Panama",Air Trek,"Panama City, Panama  - Washington DC",IAI 1124 Westwind,6   (passengers:4  crew:2),6   (passengers:4  crew:2),"After lifting off the runway the air ambulance pitched up vertically, the nose then lowered, and the wings rocked side to side. The lane then veered right and impacted the ground and broke up. An airport worker was killed when he was hit by the left engine.",July,2004,2,8.9714493,-79.5341802
1303,19:13,"Near Karacharovo, USSR",Aeroflot,Vilnius - Moscow,Tupolev TU-124,51   (passengers:45  crew:6),51   (passengers:45  crew:6),Went into a sudden dive and crashed to the ground. A short circuit occurred in the elevator trim system.,December,1973,16,,
2858,08:00,"Khartoum, Sudan",Juba Air Cargo,Khartoum - Juba,Antonov 12,4   (passengers:0  crew:4),0   (passengers:0  crew:0),"While taking off, an engine on the cargo plane failed after the plane hit a hawk. The aircraft tried to return to the airport but crashed. The plane was transporting goods and foodstuffs for traders and international organizations in Juba. Two Sudanese soldiers were killed on the ground.",November,2007,8,15.593325,32.53565
554,02:30,"Foynes, Ireland",KLM Royal Dutch Airlines,Shannon - New York City,Lockheed 1049C-55-81 S Constellation,56   (passengers:46  crew:10),28   (passengers:25  crew:3),"Less than a minute after takeoff, the aircraft crashed into a mudbank of the Shannon River. Although the crash site was only about 2,500 metres from the airport, no one was aware of the disaster. Rescue operations were only started after the plane's navigator, after having crossed the river, managed to reach the airport. The aircraft was partially submerged, and at least one of the fuel tanks had ruptured during the crash. The fuel fumes rendered many passengers and crew unconscious, who then drowned in the rising tide. Failure of the captain to interpret his instrument indications properly during flap retraction after the gear was re-extended.",September,1954,5,52.6111406,-9.1109507
1000,17:40,"Near Mamuniyeh, Iran",Military - Imperial Iranian Air Force,Shiraz - TerhanI,Lockheed C-130B,23   (passengers:?  crew:?),23   (passengers:?  crew:?),Crashed after flying through thunderstorm activity and being struck by lightning.,April,1967,17,,
3189,1655,"Flims, Switzerland",Ju Air,Locorno - Dubendorf,Junkers JU-52,20   (passengers:17  crew:3),20   (passengers:17  crew:3),"The vintage aircraft crashed onto Piz Segnas mountain while on a sightseeing flight. The plane plunged almost vertically at high speed and crashed at an elevation of 8,000 ft.",August,2018,4,46.8332439,9.2834557
820,17:45,"Santiago de Cuba, Cuba",Cubana de Aviacion,Santiago de Cuba - Havana,Ilyushin IL-14,22   (passengers:18  crew:4),22   (passengers:18  crew:4),Crashed shortly after takeoff into the sea 1 mile offshore and sank. The weather was clear.,March,1962,27,20.0223513,-75.8217639
937,23:34,"Panama City, Panama",Rutas Internacionales Peruanes,Panama City - Miami,Douglas C-54D,7   (passengers:4  crew:3),7   (passengers:4  crew:3),The No. 2 engine of the cargo plane caught fire while it was taking off. A fire and a fuel tank explosion caused the plane to descend uncontrollably and crash.,August,1965,4,8.9714493,-79.5341802
2999,19:50,"Near Kabul, Afghanistan",National Air Cargo,Bagram AB - Kabul,Lockheed L-100 Hercules,8   (passengers:0  crew:8),8   (passengers:0  crew:8),The cargo plane crashed into a mountainside about 18 miles east of Kabul Airport.,October,2010,12,34.5316468,69.2026096
